question,answer
"الروكتان سبب لي اكتئاب
هل فقط اثناء فترة العلاج ولا بيستمر معي حتى لما اتركه؟","من المفترض أن تختفي الآثار الجانبية التي تسببها الأدوية بمجرد التوقف عن استخدام العلاج، ولكن يجب العلم أن الأمر لا يكون كذلك في جميع الحالات فيما يخص ظهور الاكتئاب بعد بدء استخدام الروكتان أو أي أدوية تحتوي على أيزوتريتينوين، أي أن الاكتئاب قد لا يختفي وتزول أعراضه بعد التوقف عن تناول دواء الروكتان ويجب في هذه الحالة مراعاة ما يلي:

التوقف عن استخدام العلاج مباشرة.
الرجوع للطبيب المختص بأمراض الصحة العقلية.
الحرص على تجنب تناول المكملات التي تحتوي على نبتة سانت جونلعلاج الاكتئاب، حيث أنها قد تتفاعل مع موانع الحمل الهرمونية المستخدمة وبالتالي تزيد من خطر حدوث الحمل والعيوب الخلقية في الجنين.

على الرغم من أن خطر الإصابة بالاكتئاب لا يبدو مرتفعاً للغاية مع استخدام الروكتان أو أي دواء يحتوي على مادة أيزوتريتينوين، إلا أنه يجب الرجوع للطبيب المختص فور ظهور أي من الأعراض التالية:

التغيرات المزاجية والتغيرات في السلوك.
الشعور بالحزن، أو الغضب، أو العدوانية والانفعال بصورة غير طبيعية.
الصعوبة في التركيز.
الأفكار الانتحارية.
العمل على رؤية أو سماع أشياء غير موجودة.

للمزيد:

ما هي انواع الاكتئاب؟
ما هو الفرق بين الاكتئاب الخفيف، المتوسط والشديد؟"
حرقان جهات قلب مع وجع في صدر وا الذرع اليسر وا مع علم انا عندي 18 سنه وا ضيق تنفس وا عملت رسم قلب اكتر من مره وا تمام وا عملت اشاعه ايكو وا تمام بردو وا اخر مره دكترو قلب قالي مشكله في العظام وا مع علم اني وزني تقيل حولي 150كيلو وا طول وقت حسس با حرقان وا ضغط علي صدر وا عدم قدره علي تنفس اروج رد,تعاني من اضطراب نفسي جسدي وقلق
رجفان في الاقدام عدم التوازن بالوصول الى عدم الوقوف لانني اقع فورا و ابدأ بعدم التركيز بالكلام وعض لساني وعندما استيقظ بعد ٣٠ ثانية اكون فاقدة ذاكرة واقوم بالنوم لمدة طويلة اريد ان اعلم هل هناك امل بشفاء من حالتي لانها بدات معي بعمر ١٥ بعد معاناة والان عمري ٢٣ وانا شخص مر بامور اثرت علي نفسيا,اعملي تخطيط مخ لمعرفة النشاط الكهربي
"بقالي فتره دايما لما اجي اتكلم مثلا اتصال او اذاكر او اقرأ وسط مجموعه وانا بنطق الكلام بلاقيي نفسي بنطق غلط ويكون موقف محرج بالاخص لو قصاد ناس او مجموعه مثلا اقرأ مسأله بالكورس وسط زملائي فأنطق الكلام غلط ولا اعلم هل هو تأتأه ام لا
اتمني حد يعرفني علي علاج ولا اعلم مصدر هذه المشكله لكن اتوقع من عقلي",اذا كانت التأتأة ظهرت فجأة ولا يوجد مشاكل صحية جسدية قد تكون السبب في ذلك، فمن الممكن أن يكون السبب نفسي نتيجة التوتر أو الضغوط أو التعرض لصدمة وغير ذلك، لذلك يجب متابعة جلسات علاج نفسي لعلاج الأسباب النفسية الكامنة وتختفي هذه الأعراض
من اسبوع تعرضت لصدمة عاطفية، من شخص قدمت له كل حياتي حرفيّا،انهرت بالبكاء والصراخ تصلبت يداي واصابعي كأنها شلت لفترة معينة حتى هدأت بمدة وعادت للحركة،ولا يمكنني نسيان واستمر في البكاء،وحتى الان لا اقدر على ممارسة اي نشاط،رجاءا ما الحل، العمر25,يجب المتابعة مع معالج نفسي لتخطي الصدمة النفسية
السلام علكيم كنت اعمل عادة سرية قبل اربع سنين وتركت لي شهر بعد ما تركت لم استطيع النوم ابقى في سرير ساعتين حتى انام واخذت كبسولات Melatonen قبل نوم ولم استفيد شي وشكرا.,تحتاج لمضاد قلق واكتئاب اخر
"كيف أأمن طريقة لترك الميثافنديت ريتالين
للعلم استخدمتها لمدة 10 ايام فقط
ومن قبلها كنت استخدم الستالبرام لمدة شهرين ونصف والأن اعاني من هلوسات ونوبات اكتئاب حاد",يجب مراجعة الطبيب الذي يتابع الحالة، لتقييم الحالة وتحديد متابعة العلاج الدوائي
أعاني من تساقط شعر الرأس ومن الأرق وقلة النوم ورعشة اثناء النوم والتعب وايضا قلة الشهية كما فقدت 2 كيلو من وزني وزادت عصبيتي واحيانا ارتجف في يداي واشعر احيانا بالحزن والملل,لا يمكن تحديد تشخيص هنا، لذلك يمكنك المتابعة مع معالج نفسي للتشخيص والتدخل العلاجي من خلال جلسات العلاج النفسي لعلاج الأسباب النفسية الكامنة التي تؤدي إلى الحزن والأرق العصبية
اعاني من صعوبة في الخلود الى النوم والاستمرار فيه كما انني اسمع كل ما يجري حولي وانا نائمة كما انني اشعر بالخمول و لارهاق طوال اليوم بالاضافة الى ألم شديد في الرأس بعض المرات,اذا كان لا يوجد أي مشاكل صحية، يمكنك متابعة جلسات علاج نفسي
"السلام عليكم ورحمة الله وبركاته
انا اعاني من قلق وخُوف مؤثر على امور حياتي وتفكير
وخمول ونقص طاقة
اثر صدمة نفسيه قبل شهرين دخلني من وقتها خوف وبُكاء والى اخره",اذا كان الخوف والقلق شديد ويؤثر على على حياتكِ اليومية لا بد من المتابعة مع معالج نفسي للتشخيص والتدخل العلاجي من خلال جلسات العلاج النفسي ولتخطي الصدمات النفسية
حصلي موقف اثر على نفسيتي وصرت يوميا ابكي ومتضايقه وحاسه بوحده تقريبا عدت بس صرت ما افهم مشاعري واحس عقلي بينفجر من التفكير وتجيني كوابيس غريبه يوميا ما توقف صارت شخصيتي غريبه لدرجة غرفتي اللي دايم فيها صرت اكرهها واخاف ادخلها اختنق واخاف اقول شي بخاطري اكتم واتردد وتجيني نوبات عصبيه عجزت افهم نفسيي,يمكنك متابعة جلسات علاج نفسي
"اشعر كثيرا بصداع في الرأس ، واشعر ان رأسي مشدود و مضغوط ، والم في العين، واحيانا نغزات في الدماغ ، واشعر اني لا اقدر ان اتحدث
هل هذه اعراض خطيرة ام ان الامر نفسي ؟
لانني ايضا عندي وسواس قهري هل يمكن ان يكون الوسواس هو من يسبب لي هذا
مع العلم ان عمري ٢١",يمكنك التأكد من عدم وجود مشاكل صحية، ومتابعة جلسات علاج نفسي
"السلام عليكم
كنت أتناول حبوب منع الحمل أديبال منذ 5سنوات وأحسست أني أصبحت ذات طابع إنفعالي بشدة.فقررت التوقف عن تناولها و ذلك لمدة حوالي 4 أشهر.بعد ذلك بدأت تناول حبوب ميرسيلون اليوم أخذت الحبة الخامسة، منذ بدئها وأنا أحس بألم رهيب بمعدتي و أحس أن قواي منهكة تماما. هل هذة الآثار ستزول مع مرور الوقت",يجب مراجعة الطبيب المختص لتقييم الحالة
"الروكتان سبب لي اكتئاب
هل فقط اثناء فترة العلاج ولا بيستمر معي حتى لما اتركه؟","من المفترض أن تختفي الآثار الجانبية التي تسببها الأدوية بمجرد التوقف عن استخدام العلاج، ولكن يجب العلم أن الأمر لا يكون كذلك في جميع الحالات فيما يخص ظهور الاكتئاب بعد بدء استخدام الروكتان أو أي أدوية تحتوي على أيزوتريتينوين، أي أن الاكتئاب قد لا يختفي وتزول أعراضه بعد التوقف عن تناول دواء الروكتان ويجب في هذه الحالة مراعاة ما يلي:

التوقف عن استخدام العلاج مباشرة.
الرجوع للطبيب المختص بأمراض الصحة العقلية.
الحرص على تجنب تناول المكملات التي تحتوي على نبتة سانت جونلعلاج الاكتئاب، حيث أنها قد تتفاعل مع موانع الحمل الهرمونية المستخدمة وبالتالي تزيد من خطر حدوث الحمل والعيوب الخلقية في الجنين.

على الرغم من أن خطر الإصابة بالاكتئاب لا يبدو مرتفعاً للغاية مع استخدام الروكتان أو أي دواء يحتوي على مادة أيزوتريتينوين، إلا أنه يجب الرجوع للطبيب المختص فور ظهور أي من الأعراض التالية:

التغيرات المزاجية والتغيرات في السلوك.
الشعور بالحزن، أو الغضب، أو العدوانية والانفعال بصورة غير طبيعية.
الصعوبة في التركيز.
الأفكار الانتحارية.
العمل على رؤية أو سماع أشياء غير موجودة.

للمزيد:

ما هي انواع الاكتئاب؟
ما هو الفرق بين الاكتئاب الخفيف، المتوسط والشديد؟"
حرقان جهات قلب مع وجع في صدر وا الذرع اليسر وا مع علم انا عندي 18 سنه وا ضيق تنفس وا عملت رسم قلب اكتر من مره وا تمام وا عملت اشاعه ايكو وا تمام بردو وا اخر مره دكترو قلب قالي مشكله في العظام وا مع علم اني وزني تقيل حولي 150كيلو وا طول وقت حسس با حرقان وا ضغط علي صدر وا عدم قدره علي تنفس اروج رد,تعاني من اضطراب نفسي جسدي وقلق
رجفان في الاقدام عدم التوازن بالوصول الى عدم الوقوف لانني اقع فورا و ابدأ بعدم التركيز بالكلام وعض لساني وعندما استيقظ بعد ٣٠ ثانية اكون فاقدة ذاكرة واقوم بالنوم لمدة طويلة اريد ان اعلم هل هناك امل بشفاء من حالتي لانها بدات معي بعمر ١٥ بعد معاناة والان عمري ٢٣ وانا شخص مر بامور اثرت علي نفسيا,اعملي تخطيط مخ لمعرفة النشاط الكهربي
"بقالي فتره دايما لما اجي اتكلم مثلا اتصال او اذاكر او اقرأ وسط مجموعه وانا بنطق الكلام بلاقيي نفسي بنطق غلط ويكون موقف محرج بالاخص لو قصاد ناس او مجموعه مثلا اقرأ مسأله بالكورس وسط زملائي فأنطق الكلام غلط ولا اعلم هل هو تأتأه ام لا
اتمني حد يعرفني علي علاج ولا اعلم مصدر هذه المشكله لكن اتوقع من عقلي",اذا كانت التأتأة ظهرت فجأة ولا يوجد مشاكل صحية جسدية قد تكون السبب في ذلك، فمن الممكن أن يكون السبب نفسي نتيجة التوتر أو الضغوط أو التعرض لصدمة وغير ذلك، لذلك يجب متابعة جلسات علاج نفسي لعلاج الأسباب النفسية الكامنة وتختفي هذه الأعراض
من اسبوع تعرضت لصدمة عاطفية، من شخص قدمت له كل حياتي حرفيّا،انهرت بالبكاء والصراخ تصلبت يداي واصابعي كأنها شلت لفترة معينة حتى هدأت بمدة وعادت للحركة،ولا يمكنني نسيان واستمر في البكاء،وحتى الان لا اقدر على ممارسة اي نشاط،رجاءا ما الحل، العمر25,يجب المتابعة مع معالج نفسي لتخطي الصدمة النفسية
السلام علكيم كنت اعمل عادة سرية قبل اربع سنين وتركت لي شهر بعد ما تركت لم استطيع النوم ابقى في سرير ساعتين حتى انام واخذت كبسولات Melatonen قبل نوم ولم استفيد شي وشكرا.,تحتاج لمضاد قلق واكتئاب اخر
"كيف أأمن طريقة لترك الميثافنديت ريتالين
للعلم استخدمتها لمدة 10 ايام فقط
ومن قبلها كنت استخدم الستالبرام لمدة شهرين ونصف والأن اعاني من هلوسات ونوبات اكتئاب حاد",يجب مراجعة الطبيب الذي يتابع الحالة، لتقييم الحالة وتحديد متابعة العلاج الدوائي
أعاني من تساقط شعر الرأس ومن الأرق وقلة النوم ورعشة اثناء النوم والتعب وايضا قلة الشهية كما فقدت 2 كيلو من وزني وزادت عصبيتي واحيانا ارتجف في يداي واشعر احيانا بالحزن والملل,لا يمكن تحديد تشخيص هنا، لذلك يمكنك المتابعة مع معالج نفسي للتشخيص والتدخل العلاجي من خلال جلسات العلاج النفسي لعلاج الأسباب النفسية الكامنة التي تؤدي إلى الحزن والأرق العصبية
اعاني من صعوبة في الخلود الى النوم والاستمرار فيه كما انني اسمع كل ما يجري حولي وانا نائمة كما انني اشعر بالخمول و لارهاق طوال اليوم بالاضافة الى ألم شديد في الرأس بعض المرات,اذا كان لا يوجد أي مشاكل صحية، يمكنك متابعة جلسات علاج نفسي
"السلام عليكم ورحمة الله وبركاته
انا اعاني من قلق وخُوف مؤثر على امور حياتي وتفكير
وخمول ونقص طاقة
اثر صدمة نفسيه قبل شهرين دخلني من وقتها خوف وبُكاء والى اخره",اذا كان الخوف والقلق شديد ويؤثر على على حياتكِ اليومية لا بد من المتابعة مع معالج نفسي للتشخيص والتدخل العلاجي من خلال جلسات العلاج النفسي ولتخطي الصدمات النفسية
حصلي موقف اثر على نفسيتي وصرت يوميا ابكي ومتضايقه وحاسه بوحده تقريبا عدت بس صرت ما افهم مشاعري واحس عقلي بينفجر من التفكير وتجيني كوابيس غريبه يوميا ما توقف صارت شخصيتي غريبه لدرجة غرفتي اللي دايم فيها صرت اكرهها واخاف ادخلها اختنق واخاف اقول شي بخاطري اكتم واتردد وتجيني نوبات عصبيه عجزت افهم نفسيي,يمكنك متابعة جلسات علاج نفسي
"اشعر كثيرا بصداع في الرأس ، واشعر ان رأسي مشدود و مضغوط ، والم في العين، واحيانا نغزات في الدماغ ، واشعر اني لا اقدر ان اتحدث
هل هذه اعراض خطيرة ام ان الامر نفسي ؟
لانني ايضا عندي وسواس قهري هل يمكن ان يكون الوسواس هو من يسبب لي هذا
مع العلم ان عمري ٢١",يمكنك التأكد من عدم وجود مشاكل صحية، ومتابعة جلسات علاج نفسي
"السلام عليكم
كنت أتناول حبوب منع الحمل أديبال منذ 5سنوات وأحسست أني أصبحت ذات طابع إنفعالي بشدة.فقررت التوقف عن تناولها و ذلك لمدة حوالي 4 أشهر.بعد ذلك بدأت تناول حبوب ميرسيلون اليوم أخذت الحبة الخامسة، منذ بدئها وأنا أحس بألم رهيب بمعدتي و أحس أن قواي منهكة تماما. هل هذة الآثار ستزول مع مرور الوقت",يجب مراجعة الطبيب المختص لتقييم الحالة
"امي تعاني من اضطراب وجداني ثنائي القطب تأخذ علاج:
رسيدال ٤مجم
ديفاكوت ٥٠٠ مجم
اكتينون ٢ مجم
نيورازين ١٠٠ مجم وهذا الدواء غير متوفر حاليا محتاج اعرف بديل عن هذا الدواء مع نفس الأدوية السابقة أو أدويه اخرى مناسبه . وشكراً",يجب مراجعة الطبيب المعالج لتقييم الحالة ومتابعة العلاج الدوائي
سلام عليكم انا عندي ١٦ سنة واعاني من ضعف شديد في الذاكرة وعدم تركيز لدرجة اني ممكن اقعد في الصفحةربع ساعة او اكتروتتنسي بعدها،جربت طرق دراسة مختلفة بس فعليا مجبتش نتيجة وانا اتذكر اني من سنتين ذاكرتي كانت كويسة جدا بس معرفش ايه الي حصل علشان تسوءللدرجة دي فانا عايزة اكشف فاروح عند مين؟ ارجو الاجابة.,يجب المتابعة مع طبيب وإجراء الفحوصات الطبية اللازمة والتأكد من عدم وجود مشاكل صحية، ويمكنك متابعة جلسات علاج نفسي في حال أنك تمرّين بضغوط نفسية
حصل مع ابي نوبات اختلاج بعد الفحص تبين انه يوجد خثرتين بالدماغ بعد 3 اشهر شفي منهما لكن يبقى أحيانا يبقا متوتر كثيرا وغاضب ويحس أحيانا انو بدو يحرك اقدامو بتجي هي الحالة 10 دقايق للربع ساعة الدوا الي عم ياخدو ديباكين وفينتوئين ولازاروف وفيتامينات هل الشعور بالتوتر والتشنج احيانا طبيعي,يجب المتابعة مع الطبيب
انا اتابع عند طبيب نفسي منذ 6 سنوات بدأت بدواء ريسبيريدون مدة سنوات بعد ذالك ظهرت أعراض فابدلني بدواء اولانزابين وانا الان اشربه لمدة 4 سنوات لكنني الان لا احس بالراحة لكنه رفض استبداله بدواء آخر هل هناك دواء أفضل من اولانزابين أكثر فعالية لأنني اشربه رغما عني,يجب اتباع إرشادات الطبيب المعالج، كما يمكنك متابعة جلسات علاج نفسي
"هل من الممكن أن يصاب الشخص بصرع خلال النوم
بسبب الإكتئاب؟ حتى ولم يكن له تاريخ مع مرض الصرع",يجب المتابعة مع طبيب في حال وجود أي أعراض لها صلة بالصرع
انا عندي قلق وتوتر وتفكير زائد وسواس ونوبات هلع وعملت كل الفحوصاتوكل شيء وما طلع عندي اشي الا جرثومة المعدة كيف اخلص منها و من الاكتآب والتوتر الدائم العلاج بأثر على حالتي,يجب المتابعة مع طبيب مختص لعلاج جرثومة المعدة، كما يجب متابعة جلسات علاج نفسي لعلاج الأسباب النفسية الكامنة التي تؤدي إلى الإكتئاب
أشعر بالحزن والصداع والم في كل جسمي وفقدان شهيه وعدم القدره علي التركيز وأداء المهام اليوميه والرغبه الدائمه في البكاء وكثرة التفكير والعصبيه وعدم القدره علي تحمل أي اصوات والم في القلب ورعشه بسيطه في الجسم والتوتر,يجب متابعة جلسات علاج نفسي
السلام عليكم ، أنا ولدت قيصري منذ ٢٠ يوم و منذ الولادة و احس بالإكتئاب. في كل مساء احس بضيق في صدري و بكاء شديد بدون سبب و غالبا لا أطيق زوجي ولا كلامه (زيادة أنه بارد عاطفيا). فما الحل جزاكم خيرا.,يمكنك متابعة جلسات علاج نفسي لعلاج إكتئاب ما بعد الولادة
"عندما اقلق او احزن من امر معين
ترتفع حرارة جسم حتى اني ابدء بالتعرق
و اشع بضيق بالنفس و الم من الجهة الخلفية للرقبة
وتستمر هذا الحالة لمدة دقائق اذا لم اتخلص من ما يقلقني.",يوجد أسباب مثل المرور بأحداث صدمية أو مواقف مزعجة، لذلك يجب المتابعة مع معالج نفسي
أنا كل يوم لما بنام بدري بصحي بليل يعني بنام ساعتين وبصحي ومش بقدر أنام خالص أضطر اني أسهر لغاية لما يجيلي نوم فما الحل.,"سلامتك.
هناك بعض العادات والاساليب الصحيه للنوم فارجو التقيد بها بعد الاطلاع عليها عبر النت"
"فقدان الشهية بشكل لا إرادي وأحيانًا إهمال متعمد دون ما أحس نفسي بتقاوم، وإذا أكلت بشبع بسرعة أو نفسي بتنفر من الأكل
صعوبة تنفس بشكل مستمر، خاصة من الأنف، وغالبًا بصحى حلقي ناشف
حالة نفسية سيئة ومزاج لا مبالاة غير متعمد
معدتي بتوجع من مجرد نسمة هواء الصبح أو الليل
صداع وغثيان وتعب مستمر","سلامتك.
بهذه الأعراض المتشابكه والتي من الواضح اها مؤثره سلبيا عليكِ
من الأفضل مراجعة طبيب نفسي بشكل شخصي ليقيم الحاله
راجيا لكِ الصحة والمعافاة"
